,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
221,116.97,0.006,0.2,01100000_00010010,6.373614072799683,_M_00001,149
222,116.98,0.004,0.0,01100000_00000010,6.406797647476196,_M_00001,149
223,117.04,0.006,-0.1,01100000_00000010,6.439970254898071,_M_00001,149
224,116.97,0.004,0.0,01100000_00110010,6.473198890686035,_M_00001,149
225,117.02,0.004,-0.1,01100000_00100010,6.5064005851745605,_M_00001,149
226,116.97,0.004,0.2,01100000_00010010,6.539608001708984,_M_00001,149
227,116.97,0.004,0.2,01100000_00110010,6.572802543640137,_M_00001,149
228,117.0,0.004,0.3,01100000_00010010,6.606012344360352,_M_00001,149
229,116.98,0.006,-0.5,01100000_00000010,6.639157295227051,_M_00001,149
230,116.98,0.002,0.1,01100000_00010010,6.672331094741821,_M_00001,149
231,117.0,0.002,0.1,01100000_00010010,6.705558776855469,_M_00001,149
232,116.97,0.004,0.2,01100000_00010010,6.738755226135254,_M_00001,149
233,117.0,0.004,0.0,01100000_00110010,6.77195143699646,_M_00001,149
234,117.04,0.004,0.2,01100000_00010010,6.805155277252197,_M_00001,149
235,117.02,0.004,0.0,01100000_00110010,6.838327646255493,_M_00001,149
236,116.98,0.004,0.1,01100000_00010010,6.8715736865997314,_M_00001,149
