,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
230,115.96,0.004,0.0,01100000_00000010,4.837507486343384,_M_00002,147
231,116.08,0.004,0.1,01100000_00010010,4.854111433029175,_M_00002,147
232,116.03,0.004,0.0,01100000_00100010,4.870872735977173,_M_00002,147
233,116.05,0.004,0.1,01100000_00010010,4.887516736984253,_M_00002,147
234,116.1,0.004,0.1,01100000_00110010,4.904186725616455,_M_00002,147
235,116.03,0.004,0.0,01100000_00010010,4.920801401138306,_M_00002,147
236,116.07,0.004,0.0,01100000_00100010,4.937417507171631,_M_00002,147
237,116.01,0.004,0.0,01100000_00110010,4.954185724258423,_M_00002,147
238,116.03,0.004,0.0,01100000_00100010,4.970858097076416,_M_00002,147
239,116.05,0.004,0.0,01100000_00010010,4.987493276596069,_M_00002,147
240,116.05,0.004,0.2,01100000_00010010,3.009160280227661,_M_00002,146
241,115.99,0.002,0.0,01100000_00100010,3.0213418006896973,_M_00002,146
242,116.03,0.006,0.3,01100000_00010010,3.0378618240356445,_M_00002,146
243,116.05,0.004,0.0,01100000_00010010,3.054497003555298,_M_00002,146
244,115.99,0.006,0.0,01100000_00110010,3.071040153503418,_M_00002,146
245,116.01,0.004,0.1,01100000_00010010,3.087643623352051,_M_00002,146
246,116.03,0.002,0.0,01100000_00000010,3.1044771671295166,_M_00002,146
247,115.99,0.004,-0.4,01100000_00100010,3.1211349964141846,_M_00002,146
248,115.99,0.004,0.4,01100000_00110010,3.1375646591186523,_M_00002,146
249,116.05,0.002,0.1,01100000_00010010,3.1541709899902344,_M_00002,146
250,115.99,0.004,0.0,01100000_00110010,3.170867443084717,_M_00002,146
251,115.97,0.002,0.1,01100000_00010010,3.187588691711426,_M_00002,146
252,116.05,0.002,-0.2,01100000_00100010,3.2042198181152344,_M_00002,146
253,116.01,0.004,0.1,01100000_00110010,3.220797300338745,_M_00002,146
254,115.99,0.004,0.1,01100000_00110010,3.2373993396759033,_M_00002,146
255,116.03,0.006,0.3,01100000_00010010,3.2542104721069336,_M_00002,146
256,116.01,0.004,0.2,01100000_00110010,3.270857810974121,_M_00002,146
